Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes,Hummingbird Attractor,Host Plant,Maricopa Native Seed Library,Container Friendly,Bird Nest Habitat,Special Value Native Bees,Extended Bloom,Source,Pollinator,Host Plant Weight,Host For
Perennials,Adonis blazing star,Mentzelia multiflora,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,,TRUE,,,TRUE,,MCPP,True,,
Perennials,antelope horns milkweed,Asclepias asperula,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,native to the higher elevations of Maricopa County so will require additional wate,,TRUE,,,,TRUE,,MCPP,True,,
Perennials,Arizona milkweed,Asclepias angustifolia,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,N,NC,"In summer will need extra shade and water, best at elevations above 3,500 feet",,True,TRUE,TRUE,,,TRUE,MCPP,True,3,Queens and monarchs
Perennials,"bee balm, bergamot",Monarda sp.,,,,TRUE,TRUE,TRUE,TRUE,,,,,,BIOREG,C,,,,,,,TRUE,,MCPP,True,,
Perennials,blackfoot daisy,Melampodium leucantha,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,N,C,high visitation by small native bees,,,TRUE,,,,TRUE,MCPP,True,,
Perennials,blanketflower,Gaillardia sp.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,BIOREG,C,,,True,TRUE,,,TRUE,,MCPP,True,3,Bordered patch
Perennials,chocolate flower,Berlandiera lyrata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,C,chocolate scented flowers,,,TRUE,,,,,MCPP,True,,
Perennials,coneflowers,Rudbeckia sp,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,C,,,,,,,TRUE,,MCPP,True,,
Perennials,desert marigold,Baileya multiradiata,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,C,,,True,TRUE,,,TRUE,,MCPP,True,3,Dainty Sulphur
Perennials,desert zinnia,Zinnia acerosa,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,excellent for small native bees,,,TRUE,,,TRUE,,MCPP,True,,
Perennials,fall false tansy aster,Dieteria asteroides,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,True,TRUE,TRUE,,,,MCPP,True,2,"Hooded owlet moths, Flower moths"
Perennials,Gregg’s mistflower,Conoclinium greggii,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,C,Especially attractive to Queen butterflies,,True,TRUE,,,,,MCPP,True,3,Rawson’s metalmark butterfly
Perennials,hollyhock,Alcea rosacea,,,,TRUE,TRUE,TRUE,,,,,,,Non native,C,,,TRUE,TRUE,,,,,MCPP,True,,
Perennials,"hyssop, hummingbird mint",Agastache sp.,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,C,Several species available,TRUE,,,,,,,MCPP,True,,
Perennials,Mexican evening primrose,Oenothera speciosa,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,,TRUE,,,,,TRUE,,MCPP,True,,
Perennials,Mohave milkweed,Asclepias nyctaginafolia,,,,,TRUE,TRUE,TRUE,TRUE,,,,,N,NC,,,TRUE,,,,,,MCPP,True,,
Perennials,New Mexico thistle,Cirsium neomexicanum,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,NC,,TRUE,True,TRUE,,,TRUE,,MCPP,True,3,"Nais metalmark, Arizona hairstreak, Southwestern azure, Pacuvius duskywing, California tortoiseshell"
Perennials,parralena,Thymophylla pentachaeta,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,NC,,,True,TRUE,TRUE,,,TRUE,MCPP,True,2,Dainty sulphur
Perennials,"penstemons, beardtongues",Penstemon sp.,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,N,C,Parry’s penstemon and firecracker penstemon are most readily available,TRUE,,TRUE,,,TRUE,,MCPP,True,,
Perennials,pineleaf milkweed,Asclepias linearis,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,C,,,TRUE,,,,,,MCPP,True,,
Perennials,Queen’s wreath,Antigonon leptopus,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,N/A,N/A,Vine,,,,TRUE,,,,MCPP,True,,
Perennials,rush/desert milkweed,Asclepias subulata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,,,True,TRUE,TRUE,,TRUE,TRUE,MCPP,True,2,"Queen, monarch, Milkweed tussock tiger moth"
Perennials,sacred datura,Datura wrightii,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,C,,,,TRUE,,,,,MCPP,True,,
Perennials,rattlesnake weed/whitemargin sandmat,Chamaesyce (Euphorbia) albomarginata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,"attracts Pertida bees (world’s smallest bees), often mistaken for a weed",,,,,,,,MCPP,True,,
Perennials,smooth beggarticks,Bidens laevis,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,NC,,,,,,,TRUE,,MCPP,True,,
Perennials,Snapdragon vine,Maurandya antirrhiniflora,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,vine,TRUE,,TRUE,TRUE,,,,MCPP,True,,
Perennials,stork’s bill,Erodium sp.,,,TRUE,TRUE,,,,,,,,,N,NC,considered weedy but at least one species is native,,,,,,,,MCPP,True,,
Perennials,southwestern mock vervain/verbena,Glandularia sp. or Verbena sp,,,,TRUE,TRUE,TRUE,,,,,,,N,C,,TRUE,TRUE,,TRUE,,,TRUE,MCPP,True,,
Perennials,tahoka daisy,Machaeranthera tanacetifolia,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,,TRUE,TRUE,,,,MCPP,True,,
Perennials,tansy aster,Dieteria sp,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,late season blooms,,True,TRUE,,,,,MCPP,True,3,Moth larval host plant
Perennials,tufted evening primrose,Oenothera caespitosa,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,N,C,,TRUE,TRUE,,,,TRUE,,MCPP,True,,
Cacti and Succulents,cholla,Cylindropuntia sp.,,,TRUE,TRUE,TRUE,TRUE,,,,,,,N,C,,,,,,,TRUE,,MCPP,True,,
Cacti and Succulents,ocotillo,Fouquieria splendens,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,,TRUE,True,,,,,,MCPP,True,3,"Calleta silkmoth, Geometrid moth, Slug caterpillar moth"
Cacti and Succulents,prickly pear,Opuntia sp.,,,,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,supports many specialist cactus bees,,,,,,TRUE,,MCPP,True,,
Cacti and Succulents,red yucca,Hesperaloe parviflora,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,BIOREG,C,,TRUE,,,,,,,MCPP,True,,
Cacti and Succulents,saguaro,Carnegiae gigantea,,,,,TRUE,TRUE,,,,,,,N,C,,,,,,,,,MCPP,True,,
Cacti and Succulents,soaptree yucca,Yucca elata,,,,,TRUE,TRUE,TRUE,,,,,,N,C,Pollinated by Yucca moths,TRUE,TRUE,,,,,,MCPP,True,,
Annuals,Arizona poppy,Kallstroemia grandiflora,,,,,,,TRUE,TRUE,TRUE,,,,N,N/A,,,,,,,,,MCPP,True,,
Annuals,"coreopsis, tickseed",Coreopsis sp,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,BIOREG,N/A,In seed mixes or sold separately,,,TRUE,,,,,MCPP,True,,
Annuals,cowpen daisy,Verbesina encelioides,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,,,True,TRUE,,,TRUE,,MCPP,True,3,Bordered patch
Annuals,desert chia,Salvia columbariae,,,TRUE,TRUE,TRUE,,,,,,,,N,N/A,,,,TRUE,,,TRUE,,MCPP,True,,
Annuals,devil’s claw,Proboscidea parviflora,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,,,True,TRUE,,,,,MCPP,True,3,hawk moths
Annuals,flatcrown buckwheat,Eriogonum deflexum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N/A,often considered a weed but supports many species of small native bees,,True,TRUE,,,,,MCPP,True,2,Mormon metalmark
Annuals,lupines,Lupinus sp.,,TRUE,TRUE,TRUE,,,,,,,,,N,N/A,Usually sold in wildflower mixes,,True,,,,TRUE,,MCPP,True,1,Several species of blue and hairstreak butterflies
Annuals,Mexican hats,Ratibida columnifera,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,N/A,In seed mixes or sold separately,,,,,,TRUE,,MCPP,True,,
Annuals,poppies,Eschscholzia sp.,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,N/A,California or Mexican varieties usually available in wildflower mixes,,TRUE,TRUE,,,TRUE,,MCPP,True,,
Annuals,scorpionweed,Phacelia sp.,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,N,N/A,Several species available in wildflower mixes,,,,,,TRUE,,MCPP,True,,
Annuals,sunflowers,Helianthus sp.,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,,,TRUE,TRUE,,,TRUE,,MCPP,True,,
Cacti and Succulents,Agave,Agave sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Arizona giant skipper, Yucca moth, Tortrix moth"
Perennials,Arizona beggarticks,Bidens aurea,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Arizona metalmark, Dainty Sulphur, Sunflower moth, Dart moth"
Perennials,Arizona foldwing,Dicliptera resupinata,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Texas crescent
Shrubs,Arizona rosewood,Vauquelinia californica,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Two tailed swallowtail
Subshrubs,Arizona wrightwort,Carlowrightia arizonica,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Texas crescent
Trees,Ash,Fraxinus velutina,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Two tailed swallowtail, Calleta silkmoth, Great ash sphinx moth, Sonoran sphinx moth, Geometrid moth Calleta silkmoth, Great ash sphinx moth, Sonoran sphinx moth, Geometrid moth"
Shrubs,Barometer bushes/Texas rangers,Leucophyllums,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Theona checkerspot, Calleta silkmoth"
Cacti and Succulents,Beargrass,Nolina sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Yucca moth
Shrubs,bladderpod,Heressantia crispa,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Arizona powdered skipper, Texas powdered skipper, Erichson’s white skipper, Northern white skipper"
Grass,cane bluestem,Bothriochloa barbinodis,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Slaty roadside skipper
Shrubs,canyon hackberry,,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Empress leila, Hackberry emperor, Tawny emperor, American snout, Question Mark, Mourning cloak Io Silkmoth, Small prominent moth, Cleft headed looper moth; BRDNST"
Annuals,carrot,Daucus carota,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Black swallowtail
Trees,citrus,Citrus sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Giant swallowtail
Shrubs,Colorado four o’clock,Mirabilis multiflora,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,White lined sphinx moth
Annuals,common sunflower,Helianthus annuus,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"California Patch, Bordered Patch, and Painted Lady"
Annuals,Cooley bundleflower,Desmanthus cooleyi,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Ceraunus blue, Reakirt’s blue"
Shrubs,dalea,Dalea sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Reakirt’s blue, Southern dogface, Gray hairstreak"
Grass,deer grass,MuhleSPCVALergia sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Several species of skippers
Perennials,desert bahia,Bahia absinthifolia,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Owlet moth
Shrubs,desert cotton,Gossypium thurberi,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Painted lady, Gray hairstreak, Splendid royal silkmoth, Owlet stem borer moth, Yellow scallop moth"
Annuals,dill,Anethum graveolens,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Black swallowtail
Shrubs,Eastern Mohave buckwheat,Eriogonum fasiculata polifolium,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Lupine blue, Ceraunus blue, Rita dotted blue, Acmon blue, Brown elfin, Mormon metalmark, silkmoth, Clearwing moth"
Perennials,evening primroses,Oenothera sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"White lined sphinx moth, Flower moth"
Annuals,fennel,Ferula vulgare,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Black swallowtail
Shrubs,four wing saltbush,Atriplex canescens,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Western pygmy blue, Mohave sooty wing, Saltbush sooty wing, geometric moth"
Shrubs,graythorn,Ziziphus obtusifolia,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Pyrrha’s prominent moth, BRDNST"
Vines,Hartweg’s twinevine,Funastrum cynanchoides ssp. heterophyllum,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Queens and Monarchs
Shrubs,heart leaved hibiscus,Hibiscus cardiophyllus,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Mallow scrub hairstreak, Gray hairstreak, Yellow scallop moth, Geometrid moth"
Annuals,hollyhocks,Alcea rosea,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Painted lady
Trees,mesquites,Prosopis sp,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Marine blue, Reakirt’s blue, Ceraunus blue, Palmer’s metalmark, Leda ministreak"
Trees,Mexican elderberry,Sambucus mexicana,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Owlet moth, Melipotin moth"
Annuals,Mexican sunflower,Tithonia fruticosa,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Painted lady, bordered patch"
Perennials,Mojave milkweed,Asclepias nyctaginifolia,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Queens and monarchs
Trees,native desert willow,Chilopsis linearis arcuata,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Rustic sphinx moth, Geometrid moths"
Vines,old man’s beard,Clematis drummondii,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Fatal metalmark
Annuals,parsley,Petroselinum crispum,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Black swallowtail
Vines,passion vine,Passiflora sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Gulf fritillary, Variegated fritillary"
Perennials,perennial mustard,Boechera perennans,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Spring white, Cabbage white, Desert marble, Pearly marble, Sara orange tip, Checkered white"
