Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes
Perennials,"fall false tansy
aster",Dieteria asteroides,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,"POTS, MNSL"
Perennials,Gregg’s mistflower,Conoclinium greggii,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,C,"Especially attractive to
Queen butterflies, MNSL,
HOST"
Perennials,hollyhock,Alcea rosacea,,,,TRUE,TRUE,TRUE,,,,,,,Non native,C,"MNSL, HOST"
Perennials,"hyssop,
hummingbird mint",Agastache sp.,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,C,"Several species available,
HUM"
Perennials,"Mexican evening
primrose",Oenothera speciosa,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,"SPCVAL, HUM"
Perennials,Mohave milkweed,"Asclepias
nyctaginafolia",,,,,TRUE,TRUE,TRUE,TRUE,,,,,N,NC,HOST
Perennials,New Mexico thistle,"Cirsium
neomexicanum",,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,NC,"SPCVAL, MNSL, HUM"
Perennials,parralena,"Thymophylla
pentachaeta",,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,NC,"BloomExt, POTS, MNSL"
Perennials,"penstemons,
beardtongues",Penstemon sp.,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,N,C,"Parry’s penstemon and
firecracker penstemon are
most readily available.
SPCVAL, HUM, MNSL"
Perennials,pineleaf milkweed,Asclepias linearis,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,C,HOST
Perennials,Queen’s wreath,Antigonon leptopus,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,N/A,N/A,"Vine, POTS"
Perennials,"rush/desert
milkweed",Asclepias subulata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,"SPCVAL, MNSL, HOST,
POTS, BloomExt"
Perennials,sacred datura,Datura wrightii,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,C,MNSL
Perennials,"rattlesnake
weed/whitemargin
sandmat","Chamaesyce
(Euphorbia)
albomarginata",,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,"attracts Pertida bees
(world’s smallest bees),
often mistaken for a weed"
Perennials,"smooth
beggarticks",Bidens laevis,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,NC,SPCVAL
Perennials,Snapdragon vine,"Maurandya
antirrhiniflora",,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,"HUM, POTS, MNSL, vine"
Perennials,stork’s bill,Erodium sp.,,,TRUE,TRUE,,,,,,,,,N,NC,"considered weedy but at
least one species is native"
Perennials,"southwestern
mock vervain/
verbena","Glandularia sp. or
Verbena sp",,,,TRUE,TRUE,TRUE,,,,,,,N,C,"BloomExt, POTS, HOST,
HUM"
Perennials,tahoka daisy,"Machaeranthera
tanacetifolia",,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,"POTS, MNSL"
Perennials,tansy aster,Dieteria sp,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,"MNSL, HOST, late season
blooms"
Perennials,"tufted evening
primrose","Oenothera
caespitosa",,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,N,C,"SPCVAL, HOST, HUM"
Cacti and Succulents,cholla,Cylindropuntia sp.,,,TRUE,TRUE,TRUE,TRUE,,,,,,,N,C,SPCVAL
Cacti and Succulents,ocotillo,"Fouquieria
splendens",,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,"HUM, HOST"
Cacti and Succulents,prickly pear,Opuntia sp.,,,,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,"SPCVAL, supports many
specialist cactus bees"
Cacti and Succulents,red yucca,"Hesperaloe
parviflora",,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,BIOREG,C,HUM
Cacti and Succulents,saguaro,Carnegiae gigantea,,,,,TRUE,TRUE,,,,,,,N,C,
Cacti and Succulents,soaptree yucca,Yucca elata,,,,,TRUE,TRUE,TRUE,,,,,,N,C,"HOST, HUM, Pollinated by
Yucca moths"
Annuals,Arizona poppy,"Kallstroemia
grandiflora",,,,,,,TRUE,TRUE,TRUE,,,,N,N/A,
Annuals,"coreopsis, tickseed",Coreopsis sp,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,BIOREG,N/A,"In seed mixes or sold
separately, MNSL"
Annuals,cowpen daisy,"Verbesina
encelioides",,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,"SPCVAL, MNSL, HOST"
Annuals,desert chia,Salvia columbariae,,,TRUE,TRUE,TRUE,,,,,,,,N,N/A,"SPCVAL, MNSL"
Annuals,devil’s claw,"Proboscidea
parviflora",,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,MNSL
Annuals,flatcrown buckwheat,Eriogonum deflexum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N/A,"often considered a weed but
supports many species of
small native bees, MNSL"
Annuals,lupines,Lupinus sp.,,TRUE,TRUE,TRUE,,,,,,,,,N,N/A,"Usually sold in wildflower
mixes. SPCVAL, HOST"
Annuals,Mexican hats,Ratibida columnifera,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,N/A,"In seed mixes or sold
separately SPCVAL"
Annuals,poppies,Eschscholzia sp.,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,N/A,"California or Mexican
varieties usually available in
wildflower mixes, SPCVAL,
MNSL, HOST"
Annuals,scorpionweed,Phacelia sp.,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,N,N/A,"Several species available in
wildflower mixes. SPCVAL"
Annuals,sunflowers,Helianthus sp.,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,"SPCVAL, MNSL, HOST"
