Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes,Hummingbird Attractor,Host Plant,Maricopa Native Seed Library,Container Friendly,Bird Nest Habitat,Special Value Native Bees,Extended Bloom,Host Plant Weight
Perennials,rattlesnake weed/whitemargin sandmat,Chamaesyce (Euphorbia) albomarginata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,"attracts Pertida bees (world’s smallest bees), often mistaken for a weed",,False,,,,,,
Perennials,smooth beggarticks,Bidens laevis,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,NC,,,False,,,,TRUE,,
Perennials,Snapdragon vine,Maurandya antirrhiniflora,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,vine,TRUE,False,TRUE,TRUE,,,,
Perennials,stork’s bill,Erodium sp.,,,TRUE,TRUE,,,,,,,,,N,NC,considered weedy but at least one species is native,,False,,,,,,
Perennials,southwestern mock vervain/verbena,Glandularia sp. or Verbena sp,,,,TRUE,TRUE,TRUE,,,,,,,N,C,,TRUE,False,,TRUE,,,TRUE,
Perennials,tahoka daisy,Machaeranthera tanacetifolia,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,False,TRUE,TRUE,,,,
Perennials,tansy aster,Dieteria sp,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,late season blooms,,False,TRUE,,,,,
Perennials,tufted evening primrose,Oenothera caespitosa,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,N,C,,TRUE,False,,,,TRUE,,
Cacti and Succulents,cholla,Cylindropuntia sp.,,,TRUE,TRUE,TRUE,TRUE,,,,,,,N,C,,,False,,,,TRUE,,
Cacti and Succulents,ocotillo,Fouquieria splendens,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,,TRUE,False,,,,,,
Cacti and Succulents,prickly pear,Opuntia sp.,,,,TRUE,TRUE,TRUE,TRUE,,,,,,N,C,supports many specialist cactus bees,,False,,,,TRUE,,
Cacti and Succulents,red yucca,Hesperaloe parviflora,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,BIOREG,C,,TRUE,False,,,,,,
Cacti and Succulents,saguaro,Carnegiae gigantea,,,,,TRUE,TRUE,,,,,,,N,C,,,False,,,,,,
Cacti and Succulents,soaptree yucca,Yucca elata,,,,,TRUE,TRUE,TRUE,,,,,,N,C,Pollinated by Yucca moths,TRUE,False,,,,,,
Annuals,Arizona poppy,Kallstroemia grandiflora,,,,,,,TRUE,TRUE,TRUE,,,,N,N/A,,,False,,,,,,
Annuals,"coreopsis, tickseed",Coreopsis sp,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,BIOREG,N/A,In seed mixes or sold separately,,False,TRUE,,,,,
Annuals,cowpen daisy,Verbesina encelioides,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,,,False,TRUE,,,TRUE,,
Annuals,desert chia,Salvia columbariae,,,TRUE,TRUE,TRUE,,,,,,,,N,N/A,,,False,TRUE,,,TRUE,,
Annuals,devil’s claw,Proboscidea parviflora,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,,,False,TRUE,,,,,
Annuals,flatcrown buckwheat,Eriogonum deflexum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,N/A,often considered a weed but supports many species of small native bees,,False,TRUE,,,,,
Annuals,lupines,Lupinus sp.,,TRUE,TRUE,TRUE,,,,,,,,,N,N/A,Usually sold in wildflower mixes,,False,,,,TRUE,,
Annuals,Mexican hats,Ratibida columnifera,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,N/A,In seed mixes or sold separately,,False,,,,TRUE,,
Annuals,poppies,Eschscholzia sp.,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,N/A,California or Mexican varieties usually available in wildflower mixes,,False,TRUE,,,TRUE,,
Annuals,scorpionweed,Phacelia sp.,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,N,N/A,Several species available in wildflower mixes,,False,,,,TRUE,,
Annuals,sunflowers,Helianthus sp.,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,N/A,,,False,TRUE,,,TRUE,,
